load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	DispatchFuelCellMW	GeneratePumpedHydro	zone_demand_mw	StorageNetCharge	ChargeEVs	RunElectrolyzerMW	LiquifyHydrogenMW	ShiftDemand	StorePumpedHydro
Oahu	2025-05-17-14:00	1113.86	0	0	0	1008.31	0	8.31431	0	0	97.2377	0
Oahu	2025-05-17-16:00	921.559	0	0	0	993.298	0	14.5271	0	0	-86.2669	0
Oahu	2025-05-17-18:00	889.311	0	0	0	967.08	0	15.0473	0	0	-92.816	0
Oahu	2025-05-17-20:00	856.827	0	0	0	937.808	0	12.7998	0	0	-93.7808	0
Oahu	2025-05-17-22:00	750.062	0	0	0	734.306	0	72.5346	0	0	-56.7785	0
Oahu	2025-07-09-00:00	766.732	0	0	0	602.418	0	218.377	0	0	-54.0629	0
Oahu	2025-07-09-02:00	773.44	0	0	0	550.399	0	278.081	0	0	-55.0399	0
Oahu	2025-07-09-04:00	762.559	0	0	0	613.608	0	131.15	0	0	17.8011	0
Oahu	2025-07-09-06:00	851.752	0	0	0	820.272	0	113.507	0	0	-82.0272	0
Oahu	2025-07-09-08:00	1131.62	0	0	0	973.386	0	124.084	0	0	34.1466	0
Oahu	2025-07-09-10:00	1241.4	0	0	0	1041.92	0	60.6686	0	0	138.82	0
Oahu	2025-07-09-12:00	1268.86	0	0	0	1058.53	0	19.5766	0	0	190.752	0
Oahu	2025-07-09-14:00	1120.01	0	0	0	1057.74	0	10.1017	0	0	52.1683	0
Oahu	2025-07-09-16:00	1042.04	0	0	0	1041.72	0	16.5318	0	0	-16.2082	0
Oahu	2025-07-09-18:00	933.211	0	0	0	1000.79	0	13.9008	0	0	-81.478	0
Oahu	2025-07-09-20:00	893.925	0	0	0	982.517	0	9.66015	0	0	-98.2517	0
Oahu	2025-07-09-22:00	776.013	0	0	0	785.191	0	37.4421	0	0	-46.6205	0
Oahu	2025-07-21-00:00	788.95	0	0	0	663.21	0	120.765	0	0	4.97497	0
Oahu	2025-07-21-02:00	727.976	0	0	0	600.399	0	187.617	0	0	-60.0399	0
Oahu	2025-07-21-04:00	786.296	0	0	0	607.282	0	149.046	0	0	29.9685	0
Oahu	2025-07-21-06:00	805.34	0	0	0	725.852	0	152.074	0	0	-72.5852	0
Oahu	2025-07-21-08:00	960.471	0	0	0	910.127	0	141.357	0	0	-91.0127	0
Oahu	2025-07-21-10:00	1112.09	0	0	0	981.104	0	61.6336	0	0	69.3474	0
Oahu	2025-07-21-12:00	1164.95	0	0	0	977.026	0	29.3179	0	0	158.604	0
Oahu	2025-07-21-14:00	1221.99	0	0	0	965.081	0	29.1937	0	0	227.716	0
Oahu	2025-07-21-16:00	916.155	0	0	0	966.185	0	36.094	0	0	-86.1237	0
Oahu	2025-07-21-18:00	941.241	0	0	0	949.624	0	40.2151	0	0	-48.5981	0
Oahu	2025-07-21-20:00	885.473	0	0	0	932.138	0	46.548	0	0	-93.2138	0
Oahu	2025-07-21-22:00	791.472	0	0	0	791.289	0	39.2206	0	0	-39.0368	0
Oahu	2025-07-27-00:00	657.458	0	0	0	633.049	0	34.998	0	0	-10.5889	0
Oahu	2025-07-27-02:00	617.761	0	0	0	562.271	0	111.717	0	0	-56.2271	0
Oahu	2025-07-27-04:00	704.065	0	0	0	568.166	0	188.634	0	0	-52.7352	0
Oahu	2025-07-27-06:00	756.055	0	0	0	638.65	0	181.269	0	0	-63.865	0
Oahu	2025-07-27-08:00	967.59	0	0	0	810.61	0	206.425	0	0	-49.4452	0
Oahu	2025-07-27-10:00	1155.4	0	0	0	899.821	0	119.863	0	0	135.713	0
Oahu	2025-07-27-12:00	1152.78	0	0	0	914.391	0	44.1097	0	0	194.279	0
