FUEL_BASED_GEN_TPS_1	FUEL_BASED_GEN_TPS_2	StartupGenCapacityRenewable
Oahu_AES	4007070902	0.0
Oahu_AES	4007070904	0.0
Oahu_AES	4007070906	0.0
Oahu_AES	4007070908	0.0
Oahu_AES	4007070910	0.0
Oahu_AES	4007070912	0.0
Oahu_AES	4007070914	0.0
Oahu_AES	4007070916	0.0
Oahu_AES	4007070918	0.0
Oahu_AES	4007070920	0.0
Oahu_AES	4007070922	0.0
Oahu_AES	4007072100	0.0
Oahu_AES	4007072102	0.0
Oahu_AES	4007072104	0.0
Oahu_AES	4007072106	0.0
Oahu_AES	4007072108	0.0
Oahu_AES	4007072110	0.0
Oahu_AES	4007072112	0.0
